id,screen_name,name,location,description,url
1194775162970935297,xry_westnorfolk,XR Youth West Norfolk,,We are the Youth of @xrkingslynn (born after 1990). “The young people are starting to understand your betrayal”,https://t.co/HVYU4MxA1Q
1179178241833066497,columbus_xr,XR Youth Columbus,,,
1177926589448765440,xrafghanistan,Extinction Rebellion Afghanistan,Kabul-Afghanistan,"Extinction Rebellion is an international movement Fortunately, Afghanistan has recently joined with XR. We are facing an unprecedented global emergency.",
1179045108995506176,XRGloucester,Extinction Rebellion Gloucester,"In Gloucester, surpringly","Holding govt to account for inaction on the climate and ecological emergency #ExtinctionRebellion #TellTheTruth #ActNow
Most, but not all, RTs endorse content.",
1184923941762207747,DesignersXR,Designers for XR,Pale Blue Dot,"We are a group of designers (ux, research, visual, ...) supporting XR's key demands to get governments urgently act on the #ClimateCrisis",
1202797626715828225,XR_Tokyo,Extinction Rebellion Tokyo,Japon,,https://t.co/ku6Gi4iAdv
1122990514817699840,japan_xr,Satelliteです,,This site is run by an individual who speaks dodgy English. (main XR Japan: @XrXrjapan).,
1179388192291721218,XRPontefract01,Extinction Rebellion Pontefract,,,
1178696622017921025,xr_delhi,Extinction Rebellion Delhi | Climate सत्याग्रह,"Delhi NCR, India","Int'l non-violent civil disobedience movement to achieve radical change that'll minimise the risk of human extinction & ecological collapse
https://t.co/xm8T6ZCYj3",https://t.co/HGzfF8tRNH
1172462049466568705,DelhiRebellion,Extinction Rebellion Delhi,,The climate emergency is real. We need massive social and institutional changes. Time is running out. Join the rebellion: https://t.co/79rx2oyse1,
1199894948394520578,WahiXr,Extinction Rebellion Washington Heights Inwood,Washington Heights Inwood NYC,"Extinction Rebellion WaHi Inwood NYC. Neighborhood group in the global nonviolent rebellion against the #ClimateEmergency
EXTINCIÓN REBELIÓN Grupo vecinal de NY",https://t.co/Eznbbx7NHq
1198298306860011526,XrJews,XRJews,,Extinction Rebellion Jews,https://t.co/EzVklzxKH5
1129423928538128387,youth_xr,XR Youth Germany,,"XR Youth Germany. Jung, friedlich & ungehorsam! Du möchtest noch mehr machen als streiken? 📧youth@extinctionrebellion.de",
1202489242829672448,XR_Zwickau,Extinction Rebellion Zwickau,"Zwickau, Allemagne","Wir organisieren die Rebellion gegen das Aussterben 💚 | Alle sind willkommen und werden respektiert, so wie sie sind 🏳️‍🌈 | 📧 Zwickau@extinctionrebellion.de",https://t.co/d62bNjIDhJ
1191997770531512321,XRUlm,Extinction Rebellion Ulm,"Ulm, Deutschland","Wir rebellieren gegen #Klimakrise und Massensterben.
#JoinTheRebellion #ActNow #ExtinctionRebellion",https://t.co/vM7a1BkPnX
1185177916398809093,XRMagdeburg,Extinction Rebellion Magdeburg,Magdeburg,Extinction Rebellion Ortsgruppe in Magdeburg. Öffentliches Plenum jeden Donnerstag. Ort wird auf der Website und hier bekanntgegeben.,https://t.co/wbxGMiB5Wt
1185537684439289857,XROldenburg,Extinction Rebellion Oldenburg,Oldenburg-Lower Saxony Germany,Öffentliche Veranstaltungen in OL werden hier bekannt gegeben. Wegen unseres zivilen Ungehorsams können wir nicht alle unsere Aktivitäten öffentlich ankündigen,https://t.co/UcrzQXJbvK
241249583,FlaBroffoni,Flavia B.,,Activista contra la extinción ✊ Politóloga en clave regenerativa 🦄🔥🦄   Oradora en TEDxRdlP 2019         🗣️ https://t.co/WD3aprImOu,https://t.co/xkCzqVGKxK
1204307185381056513,MaineRebellion,Extinction Rebellion Maine,,"Consciousness shift, revolution, save the planet, respect indigenous sovereignty, NVDA, #WaterIsLife, #NoCoalNoGas, #Stop5G, #NoNECEC, #NoWar, #CloseBow",
1190311056553500680,xrbesancon,Extinction Rebellion Besançon,,Extinction Rebellion est un mouvement mondial de désobéissance civile en lutte contre l’effondrement écologique et le réchauffement climatique. Rejoignez nous!,
1184533902582530048,XRebellionCaen,Extinction Rebellion Caen,,,
1201773723403083776,XRNairobi,Extinction Rebellion Nairobi,Kenya,"socio-political movement with the stated aim of using civil disobedience and nonviolent resistance to protest against climate breakdown, biodiversity loss, and",
1200375001460936704,XRdemandsbill,XR #ThreeDemandsBill,,"A campaign to introduce the ""Climate and Ecological Emergency Bill"" into UK parliament. Let's make history, and turn XR's #threedemandsbill into law!",https://t.co/Zf42Kl1Pwd
1146035183268745216,XRSyd,Extinction Rebellion Sydney,Sydney,"⚠️This is a climate emergency
⏳#ActNow and join the movement.
📣 International Rebellion starts 7th October.",https://t.co/vWOb94f0bt
1116396395353858048,riders_uk,XR Rebel Riders South Central UK (⧖),,Riding to the #InternationalRebellion through Hampshire and Surrey. Join us! #ExtinctionRebellion #TellTheTruth #ClimateEmergency,
1091482614995828736,XRWaterloo,XR Kitchener-Waterloo,"Kitchener, Ontario",A Kitchener-Waterloo chapter of @ExtinctionR: Non-violent direct action & civil disobedience for the climate & ecological crisis: https://t.co/mk3rl640Je,https://t.co/JJ3SaO3rmt
1118753168051949570,xrnsw,Extinction Rebellion NSW,,Extinction Rebellion New South Wales #ExtinctionRebellion,
1138685648859062272,xr_seq,Extinction Rebellion South East Queensland,"Brisbane, Queensland",,https://t.co/1vHbmkngrs
1196506115481178113,xr_eberswalde,xr_eberswalde,Eberswalde,"#XR_EW OG Eberswalde https://t.co/d62bNjIDhJ #ExtinctionRebellion

Wir stehen für kreativen, friedlichen Protest und zivilen Ungehorsam.",https://t.co/RZfpCRv7Iw
1169892820217237504,XrFranck,Franck XR,"Paris, France",Nouvelles du front de la rébellion pour le respect du vivant. Et pour rêver d’une civilisation harmonieuse. #ExtinctionRebellion #ActNow @xrFrance @ExtinctionR,https://t.co/UNoIwOvaY7
1176828863449579520,XrRebel,XR Writers Rebel,,#WritersRebel Twitter feed for XR Writers. A small working group of writers inside XR organising writers to rebel against #climatecrisis #rebel4life,
1200443697348907008,xr_rebelradio,XR 📻 Rebel Radio,"London, England",XR Rebel Radio takes over @sohoradio's culture channel Tuesdays and Fridays at 11am.,https://t.co/7dCfKxVtpf
1176391207993454592,XRAudomarois,Extinction Rebellion Audomarois,Audomarois-Pays de Saint Omer,"A Saint-Omer et ses alentours, nous sommes en rébellion depuis le 4 octobre 2019. Rejoins-nous! 
Contact: xrsohdf@protonmail.com",https://t.co/cgpyiQopes
1178776207325896706,xr_lyon,Extinction Rebellion Lyon,Lyon,"Branche locale du mouvement Extinction Rebellion. La crise climatique est aussi une crise sociale, & nous nous battons pour les deux !",https://t.co/RKCDO0X5td
1198223825617522688,XRCharlbury,XR Charlbury,Charlbury West Oxfordshire,Local group of national Extinction Rebellion movement taking on #ClimateEmergency through non-violent direct action in #WestOxfordshire #ClimateDecidesMyVote,
1197490968540393474,regultija,Regultija contra la destinción,Cantabria,Regultija contra la destinción (XR Cantabria),
1179168770448936960,XRmuslims,Extinction Rebellion Muslims ☪️⏳🐝🌿,"London, England","Committed to climate justice, tell the truth, act now on ecological breakdown and climate emergency XR.Muslims@gmail.com",https://t.co/chbMQkL4OM
1127212723547385861,NursesXr,NursesForXR,United Kingdom,A group of nurses who back the aims of @extinctionrebellion #ClimateEmergency #EcoNurses #XRNurses 🌍 contact us at admin@nursesforXR.com,https://t.co/XGYAPxKt6D
1180103727946051587,EngineersXr,XREngineers,,"Rallying engineers to join Extinction Rebellion and demand the government acts now, declares a climate emergency and then acts as if it is true.",
1183731889598808065,SuitsAndTies4XR,Suits & Ties for XR,,"The science is clear, we’re in midst of a climate crisis.

We are professionals from all corporate sectors in support of Extinction Rebellion’s 3 key demands.",https://t.co/bp5t7iHL6u
1196831493953380354,XRRebelEveryDay,XR Rebel Every Day,,Promoting and celebrating the inspiring actions of Extinction Rebellion local groups. Need a bit more rebellion in your life?- we’re here to help 💚,
1195815788462170113,XRSouthwarkLib,XR Southwark Community Library,Pop ups across London,"Community Climate Justice Library serving Southwark residents and beyond
xrsouthwarklibrary@gmail.com",https://t.co/CA5mc6trHl
1177093194338590720,xr_phx,Extinction Rebellion Phoenix,"Phoenix, AZ",#XRPhoenix stands for ecological justice in the face of climate crisis. #TheTimeIsNow. #JoinTheRebellion.,https://t.co/AfQTfFq6j6
1067622890483286016,ExtinctionT,extinction rebellion Tasmania,"Tasmania, Australia","We have to evolve & rebel to survive. The science is in, we are on track for some very bad times and we need to act. Now. If not now, when? If not you, whom?",
1084982866965082113,ssm_xr,XR SSM,"Sault Ste. Marie, Ontario",We have a moral obligation to fight for our lives.,
1146778324007567360,XLgbtqi,XR LGBTQI+,,#NoPrideinEcocide,
1121588033831284736,ExtinctionRKent,Extinction Rebellion Kent,Kent,Call to all Kent residents & interest groups for peaceful protest against the causes of climate change.#ExtinctionRebellion Stop Aviation Expansion Kent 🐝⌛️🦋,
1098612269603344384,XRDundee,Extinction Rebellion Dundee,"Dundee, Scotland",Rebelling for action on #climatebreakdown in Dundee and Scotland - join the #ExtinctionRebellion,https://t.co/gJcU3XCcqL
1130204725415165954,ReastbourneX,XReastbourne,,"THIS IS AN EMERGENCY ⚠️

Eastbourne group supporting EXTINCTION REBELLION for those who know the truth of the climate emergency and want to take action!",
1181685587398533122,XRrochester,XR Rochester,"Rochester, NY","Extinction Rebellion (XR) Rochester is a local chapter of XR-US, & demands immediate action on the Climate Crisis via nonviolent direct action. Join us today!",https://t.co/J0xOfbcaCm
1165487779847004160,xruganda,Extinction rebellion Uganda🌏💚,"Kampala, Ouganda","Extinction Rebellion Uganda Activists, Part of the global Movement for climate justice.
#EarthProtectors #ClimateStrike #SaveCongoRainForest",
1197621922869190665,AndoverXr,XR Andover,,"Extinction Rebellion local group, Andover Hampshire UK. Love and rage! 🌍🐝💚⏳🦋",
1192121159288012801,XRDevizesMarl,XR Devizes & Marlborough ⏳,,"Extinction Rebellion group for Devizes & Marlborough, Wilts. Join us! #RebelForLife #ExtinctionRebellion",
1195290450988544000,XRCheetahs,Extinction Rebellion Cheetahs,"London, England","An XR London actions sub-group. Runners, the vanguard of #BeWater tactics. Quickly: move, action, move again. #RunForYourLife. Read: https://t.co/2V8Su2WNBb",https://t.co/bIwvy5lADH
1183382789812641793,xrregenerative,XR Regenerative Culture 🌍,,🦋 Extinction Rebellion Regenerative Culture 🦋 ⭕️We are transitioning to a regenerative culture. 🌳Extinction.resilience,
1184386025818337280,CitizensXr,XR UK Citizens’ Assembly Working Group,,Extinction Rebellion demands the UK Gov create a Citizens’ Assembly on Climate and Ecological Justice #EcologicalCollapse #ClimateEmergency #BeyondPolitics,https://t.co/kFzjPhWc96
1184494207551057922,XRPsychologists,XR Psychologists,,"Extinction Rebellion (XR) Psychologists.
XR Psychologists is a UK-wide XR community group",https://t.co/SNNn2Gnc0z
1185330528456720392,leedsliberation,XR Liberation Leeds,"Leeds, England",Working within Leeds XR to challenge privilege and promote inclusivity & diversity in the climate action movement. Decolonise activism. ⏳🌍,
1182053749214384133,xrnicaragua,Extinction Rebellion Nicaragua,Nicaragua,Nos declaramos en REBELIÓN NO VIOLENTA frente a la criminal negligencia de los gobiernos al no abordar con urgencia la crisis ecológica y civilizatoria.,https://t.co/bXp0o0Kht4
1143230011580669952,XrRichmond,XR Richmond VA,,Nonviolent Civil Disobedience,
1179353958663561216,XRWageningen,XR Wageningen,Wageningen,"We are Extinction Rebellion Wageningen
#actnow #rebelforlife #extinctionrebellion",https://t.co/hWyLbeJU1b
1131766148272254976,BhamRebellion,ExtinctionRebellionBham,"Bellingham, WA",Official Twitter for the Bellingham chapter of Extinction Rebellion. Join the rebellion: https://t.co/lnKLnxleQa,
1148846822888222720,XRRebelRiders,Extinction Rebellion Rebel Riders,,Extinction Rebellion Rebel Riders,
1164504110835654662,FilmmakersXr,XR Filmmakers,,"We are XR Filmmakers.
The Rebellion will be visualised.",
1176574280039043072,RebelRingersXR,Extinction Rebellion Rebel Ringers,,The XR Rebel Ringers are the phone bank wing of XR.  Rebel Ringers call up XR supporters and help them become more engaged and involved in the movement.,
1158658054881239040,XR_Sustenance,XR Sustenance,London UK,Feeding Extinction Rebellion. Email XRsustenance@gmail.com. Help wanted.,
1191747378203779072,XR_Araba,XR Araba,,"Únete a la rebelión contra la crisis climática y ecológica!🌍
SUNTSIPENA EDO MATXINADA!",
1092182979521249282,xr_cornwall,Extinction Rebellion Cornwall,"Cornwall, UK, Earth",,https://t.co/H44xleOKtj
1145413079880085505,rebelsgrantham,Extinction Rebellion Grantham,,,
1139241199351586818,xrswansea,xrswansea,"Swansea, Wales",Time is running out.                                         Instagram: swanseaxr,
19389598,BonesUK,⧖ XR Cornwall ⧖,On the wild and windy moor..,,https://t.co/4FVBY2AMPH
1188206256340770817,ExtincRebelPA,Extinction Rebellion,Panamá,Rebelión Sin Violencia en contra de la Crisis Climática desde Panamá,
1187118180927447041,xrjaen,Extinction Rebellion Jaén,"Jaén, España",Movimiento de desobediencia civil pacífica que busca presionar la clase política y activar la sociedad ante el colapso climático.,https://t.co/96gvOkXLqg
1176778710026018817,XR_Watford,Extinction Rebellion Watford,"Watford, England",Watford branch of Extinction Rebellion,https://t.co/4CCq9y0DuB
1178244848257814531,XRearth,XRBurningEarth,,,
1145793366405369858,XRWimborne,Extinction Rebellion Wimborne,,Campaigning for our planet’s survival,
1181094756333625344,XRWhitehall,XRWhitehall,"London, England",🔥🌍🔥,
1187968322295349248,XR_Rajasthan,XR Rajasthan,,🌍Rajasthan chapter of an international non-violent civil disobedience movement. Time of denial is over and time to act now is here🌏,
1180285177332928517,ScrantonXR,Extinction Rebellion Scranton,"Scranton, PA",,
1190610765025304576,XRShrewsburyWeb,webXRShrewsbury,shrewsbury,,https://t.co/tw7nJKgsBC
1193153315980414978,xrCleanYourAct,XR Clean Up Your Act,United Kingdom,Clean Up Your Act - Divestment campaign by Extinction Rebellion to move large amounts of investment funds away from carbon-intensive companies,https://t.co/ckdhgpeici
1191678842483740674,XBarnstorf,XR_Barnstorf,Barnstorf,"Ortgruppe der Klimabewegung Extinction Rebellion
Friedlicher Protest gegen die nahende Klimakatastrophe

https://t.co/CgeByvYhGK",https://t.co/xbYBvaFZGb
1181316433353084928,XR_Marseille,Extinction Rebellion Marseille,Marseille,"Face à l'extinction, la rébellion ! #RebelForLife 
https://t.co/gBN70V8sEQ",https://t.co/xS5i6PiKqE
1135144125559451648,MalagaRebellion,Extinction Rebellion Málaga,Málaga,"Málaga también se une a la rebelión internacional noviolenta contra la crisis climática y el colapso ecológico, ¡únete! #EmergenciaClimática #ActuarYa #XRMálaga",https://t.co/OSraaOca7E
1122891956554694657,broteXRhuelva,El Brote-XR Huelva • Extinction Rebellion,"Huelva, Espagne","🌱Colectivo que lucha por la justicia climática y social, feminista y de desobediencia civil noviolenta en Huelva
⏳🌍 Formamos parte de Extinction Rebellion(⧖)",https://t.co/v3f485dSuB
1179464986025963522,west_xr,XR Hamburg- West,,Extinction Rebellion Hamburg West Stadtteil Gruppe 🦋,
1184404071232561152,xr_osnabrueck,Extinction Rebellion Osnabrück,Osnabrück,Aufstand gegen das Aussterben - Extinction Rebellion. Folgt uns für #ClimateJustice in Osnabrück. Mitmachen? Mail an osnabrueck@extinctionrebellion.de,https://t.co/vM7a1BkPnX
1180593907941482496,xrwuppertal,Extinction Rebellion Wuppertal,"Wuppertal, Nordrhein-Westfalen",Rebellion gegen das Aussterben. Hier twittert die Ortsgruppe Wuppertal.,https://t.co/pF8ZPC84zA
1150491142385033222,XRLaUnion,XR La Unión,"La Unión, Chile","Acción directa no-violenta y desobediencia civil, frente a la abrupta crisis climática y ecológica. ⌛️ #ExtinctionRebellion #XRChile",
1145363932674174976,xr_btv,xr_btv,,Burlington Vermont Department of Extinction,
1157798914424266752,XRTalca,XR Talca,"Talca, Chile","Acción directa no-violenta y, desobediencia civil, frente a la abrupta crisis climática y ecológica. ⌛️ #ExtinctionRebellion #XRChile",
1123738713698308096,XR_SouthAfrica,XR South Africa,,Working in Stellenbosch as part of a global #extinctionrebellion. We demand #zerocarbon2025,
1123348617182490624,XR_Lancashire,Extinction Rebellion Lancashire,Lancashire,"#ExtinctionRebellion branch in #Lancashire. Striving for our future to be clean and biodiverse, by tackling #ClimateBreakdown and #EcologicalCollapse.",https://t.co/3wMIaKCcJO
953613698605645824,MCRyouthRebels,Youth Extinction Rebellion MCR,"Manchester, England",Mancunian Voices Will Be Heard🔊 A Voice For Manchester’s Youth🐝,
1127912589542010880,xryouthherts,XR youth HERTS,,XR youth Hertfordshire climate activist group.,
1118407270226903040,BrnoXRRebellion,Extinction Rebellion Brno,,"Jsme Extinction Rebellion v Brně
#rebelforlife",
1118469040647868416,SleafordGroup,Extinction Rebellion Sleaford Group,"Sleaford, Lincolnshire","XR group Sleaford. Peacefully protesting for climate change. We must mobilise for a future for our children, grandchildren. Violence is not tolerated.",
1121129766302756864,SStaffs_XR,XRSouthStaffs,South staffordshire,South Staffordshire grassroots movement highlighting environmental issues within the area,
1148491876565209089,XRBCC1,XR BC&C,,Extinction Rebellion in Bishop's Castle and the Clun valley - join us to change the way we shape our world,
1118322702832427008,extinctionhk,Extinctionhk,,Hong Kong Grassroots Activists. We Declare International Non-Violent Rebellion Against The World's Governments For Criminal Inaction On The Ecological Crisis,
1133112758369771522,XRGalway,Extinction Rebellion Galway,"Galway, Irlande",Non-violent direct action and civil disobedience for action on #ClimateBreakdown and #EcologicalCollapse. This is an emergency - #RebelForLife.,
1161515052329033729,XRSM4,XRSM4,"San Mateo, CA",This is the official Twitter account of the Extinction Rebellion San Mateo (XRSM) group.,
1166815732614729728,Extinct25140364,Extinction Rebellion Wokingham,,We act in affinity with and solidarity to the Extinction Rebellion mission. TELL THE TRUTH. ACT NOW. SAVE OUR CHILDREN.,
1189299929308467200,xr_tucson,Extinction Rebellion Tucson,,,https://t.co/SWSZTrovzZ
1180021792360017921,warwickunixr,Extinction Rebellion Warwick University,,"It's time for us to call for action, it's time for the government to tell the truth about the climate catastrophe before it's too late. The time is NOW to act!",https://t.co/pimPlylyhe
1185674190927650816,xr_dallas,XR Dallas,"Dallas, TX","🌍Dallas Chapter of Extinction Rebellion                
    🌡️We are the voices of our future
                             🌱Dm for information!",https://t.co/iUW3cBfbdE
1189175679658708992,MannheimXr,XR Mannheim,Mannheim,"Rebellion gegen das Aussterben. Schließ dich an!
Facebook: https://t.co/jhXve6ycwO
Instagram: https://t.co/B6Sro6fDPS",
1191754626049200131,xr_tech,XRTechStaging,,,
1150861173212008449,GCXRNW,Gogledd Cymru Extinction Rebellion North Wales,"North Wales, Wales","XR North Wales including local groups. Follows and RT ≠ endorsements 
Gogledd Cymru XR efo grwpiau lleol. Dilynwyr ac ail-drydar ≠ cydsyniad",https://t.co/PhOmgEpbpN
1172887463234342919,XRKenya,EXTINCTION REBELLION KENYA 🌍,,"Here to push for some climate emergency action by authorities, to avert the looming environmental catastrophe on planet. With love and rage. XRKenya.",
1172134845272772608,xrpadova,Extinction Rebellion Padova,"Padoue, Vénétie",We are in the middle of climate breakdown. This is an emergency. Join us. #xr #rebelforlife,https://t.co/7DgUmmDmBJ
1167060729352065024,StockholmXr,XR Stockholm,Stockholm,XR Sweden's local group for Stockholm. Conducting non violent civil disobedient actions to force the government to tackle the climate crisis.,https://t.co/qSpA0Wa45t
1137638495550410752,xr_westcork,Extinction Rebellion West Cork,West Cork,Non violent direct action group based in the south-west of Ireland 🇮🇪 ✊💚 #climateemergency #biodiversitycrisis,
1170993125457838083,XRebellionLK,Extinction Rebellion Sri Lanka,Sri Lanka,The official Twitter page of the Sri Lankan arm of the Extinction Rebellion.,https://t.co/dfcMzQmBdn
1176358726178992128,KyotoRebellion,Extinction Rebellion Kyoto,"Kyoto, Japan","Father, teacher, concerned citizen.
If not you, then who？ 
“Nature cannot be fooled.” Richard Feynman
""Time spent among trees is never time wasted."" Anon.",
1140712668686409729,XR_RandR,Extinction Rebellion Reigate and Redhill,Reigate and Redhill,Extinction Rebellion group local to Reigate and Redhill.,
1181669422068580352,Extinct88430619,Extinction Rebellion Brabant,,Brabanders die XR steunen uit liefde voor het leven en respect voor de planeet / love life and respect the planet #tellthetruth #actnow #citizensassembly,
1181576814143123463,xrgeeks,Extinction Rebellion Geeks,We are there.,"#XRGeeks is an #ExtinctionRebellion group working across geek culture, tech & imagination to fight climate change and vision new ways of living.",
1183772797690155009,DesignersForXR,Designers For XR,,"We are a diverse group of designers who believe design has an important role to play in the fight for our planet. 

#Empathy #Prototyping #Storytelling",
1181487207699406849,AntifaRebellion,Extinction Rebellion Antifa ❨ⴵ❩,Berlin / Weltweit,"Wir sind eine Gruppe junger Antifas, organisiert bei #XR. Die Klimakrise kann nur antifaschistisch bekämpft werden! #ExtinctionRebellion #AntifascistRebellion",
1166663018010292226,xrcomicscience,XR Comic Science 🎨👩‍🎓💚,Berlin,"Sharing our love for Art, Science and Nature. #Rebel4Life #ExtinctionRebellion",https://t.co/JNOlZ82bhw
1177532463188512768,XR_Flensburg,Extinction Rebellion Flensburg (⧖),"Flensburg, Schleswig-Holstein",XR Flensburg  / XR Flensborg,
1148832050130149376,XR_Wuerzburg,Extinction Rebellion Würzburg,Würzburg,Mit zivilem Ungehorsam gegen die ökologische Katastrophe,https://t.co/VS5RB8uErm
1172632377925033985,KoblenzXR,Extinction Rebellion Koblenz,,"Wir rebellieren gegen das Aussterben von allen Lebewesen .
Die #Klimakrise ist hier und wir haben nur noch wenig Zeit entschieden zu handeln #ActNow.",
382143099,AmplifyXR,Amplify Extinction Rebellion,Global,"We have reincarnated and we are now focused on #climatestrike in support of @extinctionR and its global chapters 
previously @ttipgameover - @occupybrussels",https://t.co/m5aoPv8g4O
1121429407426654208,UEAXR,XR UEA,"Norwich, England",IT'S TIME TO ACT UPON THE CLIMATE EMERGENCY,
1134076044963721217,XR_Chor,XR-Chor,Autriche,Der XR-Chor: das sind die MusikantInnen von Extinction Rebellion Austria - choir of XR Austria - https://t.co/WwEjFo3KmS,https://t.co/WwEjFo3KmS
1123587235557793792,XRIndonesia,Extinction Rebellion Indonesia 🇮🇩,Indonesia,#XRIndonesia mendorong #ClimateJustice dengan mengedukasi masyarakat mengenai #ClimateEmergency dan mendesak pemerintah untuk bertindak. @ExtinctionR,https://t.co/xzWXD8qV9Q
1107242639643037697,xrtampere,Extinction Rebellion Tampere,,"Yksilön kulutusvalinnat eivät yksin riitä tuomaan muutosta. Tarvitaan mittavia poliittisia ja rakenteellisia uudistuksia, jotka voidaan saavuttaa yhteistyöllä.",https://t.co/nmAsuzUl3z
1117457547282268166,ExtinctionRebe7,ExtinctionRebellionManitoba,,"Winnipeg, Manitoba. Disruption of current systems not only crucial but a moral obligation. Please join us. Aiming to follow Indigenous leaders",
1172820422552903680,dean_xr,XR Forest of Dean,,Extinction Rebellion Forest of Dean-see our Facebook page for details of weekly meetings and events https://t.co/GST9DAhD2g,
1178937676168388608,Staines_XR,Staines XR,,"Twitter hub for Staines Extinction Rebellion.
For all our links -  https://t.co/GvNsazG6mB
#ExtinctionRebellion",
1176595793840656385,LeuvenRebellion,Extinction Rebellion Leuven,Leuven,"Leuven's local XR action group. 

October 12th, Brussels: Bring a chair and join XR Belgium People's Assemblies in the King's garden! ✊",
1181271622097014784,XRDisabledRebel,XR Disabled Rebels,,UK disabled rebels in Extinction Rebellion,
1177532917955911680,xr_TradeUnions,XR UK - Trade Unions,,XR Trade Unions calls on all trade unionists to stand with Extinction Rebellion to demand #ClimateJustice through a #JustTransition xrtradeunions@protonmail.com,
1160988719744212999,XryouthN,XRYouth_NorthEast,"Newcastle Upon Tyne, England","Twitter for XRYouth North East.
Follow for updates and events. 
With love and rage,
XRYNE",
1124708854380605440,XRYIreland,XR Youth Ireland,Ireland,"This is an emergency⚠️💀 Our politicians have failed us, so we rebel. We are the youth voice of the rebellion in Ireland.",https://t.co/TFTMiCF73P
1179698220068478976,XryouthH,xryouth_hamburg,"Hamburg, Germany","Uns betrifft die Klimakrise mehr als alle anderen!
Deshalb rebellieren wir für unsere Zukunft!
💚🌍🌳",
1178700139298459649,StockholmXry,Extinction Rebellion Youth Stockholm,"Stockholm, Sweden","The young voice of Extinction Rebellion Stockholm.

https://t.co/BwYpLskL3F
https://t.co/SxdmkqkAPn",
1174847326839627782,xryouthphilly,Extinction Rebellion Youth Philadelphia,"Philadelphia, PA",Stopping climate change through system change,
1165278436597911552,xryouthrockland,XRY ROCKLAND,"Rockland County, New York",Fighting to preserve the future of humanity. Join the rebellion ⤵️,https://t.co/bIfbaC82SS
1178417229009948673,xryouthcornwall,Extinction Rebellion Youth Cornwall,,"Our house is on fire, please listen to our fire alarm.",
1168187351304155136,xryouthdc,XR Youth DC ⧖⃝,,Youth voice of @XRebelDC 🌎⌛️,https://t.co/IXfTCqpSP4
1174485844981407744,XRYouthBoston,XR Youth Boston,"Massachusetts, USA","We are young members of Extinction Rebellion, taking direct action to bring meaningful change for a livable future",https://t.co/2oyBzzdD2J
1179715585711771648,XrStirling,Extinction Rebellion Stirling,"Stirling, Scotland",An inclusive & positive movement fighting for the planet.,
